"resource","false","Quién es la consorte de Barack Obama","consorte,Barack Obama",Select distinct ?uri where { dbr:Barack_Obama dbo:spouse ?uri }
"resource","false","Quién es la cónyuge de Barack Obama","cónyuge,Barack Obama",Select distinct ?uri where { dbr:Barack_Obama dbo:spouse ?uri }
"resource","false","Quién es la compañera de Barack Obama","compañera,Barack Obama",Select distinct ?uri where { dbr:Barack_Obama dbo:spouse ?uri }
"resource","false","Quién es la pareja de Barack Obama","pareja,Barack Obama",Select distinct ?uri where { dbr:Barack_Obama dbo:spouse ?uri }
"number","false","Cuantos habitantes tiene la Argentina","habitantes,Argentina",Select distinct ?c where { dbr:Argentina dbo:populationTotal ?c }
"number","false","Cuantos residentes tiene la Argentina","residentes,Argentina",Select distinct ?c where { dbr:Argentina dbo:populationTotal ?c }
"number","false","Cuantos pobladores tiene la Argentina","pobladores,Argentina",Select distinct ?c where { dbr:Argentina dbo:populationTotal ?c }
"resource","false","Quien es el sucesor de Sylvester Stallone","Sylvester Stallone,sucesor",Select distinct ?uri where { dbr:Sylvester_Stallone dbo:child ?uri }
"resource","false","Quien es el retoño de Sylvester Stallone","Sylvester Stallone,retoño",Select distinct ?uri where { dbr:Sylvester_Stallone dbo:child ?uri }
"resource","false","Quien es el heredero de Sylvester Stallone","Sylvester Stallone,retoño",Select distinct ?uri where { dbr:Sylvester_Stallone dbo:child ?uri }
"number","true","Cuantos empleados tiene Google","Google,empleados",Select distinct ?c where { dbr:Google dbo:numberOfEmployees ?c }
"number","true","Cuantos dependientes tiene Google","Google,dependientes",Select distinct ?c where { dbr:Google dbo:numberOfEmployees ?c }
"number","true","Cuantos trabajadores tiene Google","Google,trabajadores",Select distinct ?c where { dbr:Google dbo:numberOfEmployees ?c }
"number","true","Cuantos asalariados tiene Google","Google,asalariados",Select distinct ?c where { dbr:Google dbo:numberOfEmployees ?c }
"number","true","Cuantos visitantes recibe Louvre","Louvre,visitantes",SELECT DISTINCT ?c WHERE {dbr:Louvre dbo:numberOfVisitors ?c}
"number","true","Cuantos turistas recibe Louvre","Louvre,turistas",SELECT DISTINCT ?c WHERE {dbr:Louvre dbo:numberOfVisitors ?c}
"number","true","Cuantos invitados recibe Louvre","Louvre,invitados",SELECT DISTINCT ?c WHERE {dbr:Louvre dbo:numberOfVisitors ?c}
"resource","false","Quien es el retratista de la Mona Lisa","Mona Lisa,retratista",select DISTINCT ?uri Where { dbr:Mona_Lisa dbo:author ?uri }
"resource","false","Quien es el acuarelista de la Mona Lisa","Mona Lisa,retratista",select DISTINCT ?uri Where { dbr:Mona_Lisa dbo:author ?uri }
"resource","false","Quien es el magistrado de Rennes","Rennes,magistrado",SELECT DISTINCT ?uri WHERE {dbr:Rennes dbo:mayor ?uri .}
"resource","false","Quien es el regidor de Rennes","Rennes,regidor",SELECT DISTINCT ?uri WHERE {dbr:Rennes dbo:mayor ?uri .}
"resource","false","Quien es el hospedador de BBC Special Wildlife","hospedador, BBC Wildlife Specials",SELECT DISTINCT ?uri WHERE { dbr:BBC_Wildlife_Specials dbo:presenter ?uri . }
